Name,Latent_feature
RID_1001000745_20191218_134307_L_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0097.jpg,"[ 0.6262498   0.07779672 -0.16149369 ... -0.25471145 -0.1127674
 -0.22998019]"
RID_1001000257_20191204_170814_L_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0049.jpg,"[ 0.5105317   0.16385593 -0.12504809 ... -0.48344988 -0.12105076
 -0.19941473]"
RID_1001000689_20190917_151024_R_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0081.jpg,"[ 0.5467101   0.09235111 -0.1450554  ... -0.2805751  -0.04264008
 -0.25498047]"
RID_1001001146_20180604_140117_R_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0121.jpg,"[ 0.6032497   0.25825274 -0.1725286  ... -0.5781918  -0.1337679
 -0.40583766]"
RID_1001000852_20191022_170308_R_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0089.jpg,"[ 0.42342576 -0.0157819  -0.12787761 ... -0.48034883 -0.13153978
 -0.29539922]"
RID_1001000403_20180410_170435_R_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0089.jpg,"[ 0.46508998  0.09268204 -0.12673144 ... -0.3287341  -0.27530515
 -0.3817842 ]"
RID_1001000378_20180808_153732_R_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0049.jpg,"[ 0.5930114   0.08037737 -0.16506296 ... -0.3482448  -0.22067331
 -0.35403186]"
RID_1001001046_20181128_132405_R_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0049.jpg,"[ 0.4612314   0.15783262 -0.11983842 ... -0.3077904   0.01161417
 -0.23245755]"
RID_1001000716_20191028_162835_L_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0097.jpg,"[ 0.6685615   0.13060324 -0.24880314 ... -0.45143017 -0.01919295
 -0.34718594]"
RID_1001004902_20180926_162921_R_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0025.jpg,"[ 0.52791065  0.23551992 -0.21939643 ... -0.526535   -0.23892523
 -0.19069165]"
