2024-03-19 12:00:51,817 - INFO - Saving models in /home/tejadhith/Project/OCT/multiclass_models_retfound_448 
2024-03-19 12:00:58,164 - INFO - Initial Test Accuracy (foveal_scan): 0.2227
2024-03-19 12:00:58,164 - INFO - Initial Test Accuracy (healthy): 0.4607
2024-03-19 12:06:09,292 - INFO - Epoch 15/40, Val Loss: 0.0813
2024-03-19 12:06:10,160 - INFO - Epoch 15/40, Validation Accuracy (foveal_scan): 0.9926
2024-03-19 12:06:10,160 - INFO - Epoch 15/40, Validation Accuracy (healthy): 0.9338
2024-03-19 12:06:10,160 - INFO - Epoch 15/40, Validation Accuracy (srf): 0.9338
2024-03-19 12:06:10,160 - INFO - Epoch 15/40, Validation Accuracy (irf): 0.9412
2024-03-19 12:06:10,160 - INFO - Epoch 15/40, Validation Accuracy (drusen): 0.8897
2024-03-19 12:06:10,161 - INFO - Epoch 15/40, Validation Accuracy (ped): 0.9191
2024-03-19 12:06:10,161 - INFO - Epoch 15/40, Validation Accuracy (hdots): 0.8235
2024-03-19 12:06:10,161 - INFO - Epoch 15/40, Validation Accuracy (hfoci): 0.9926
2024-03-19 12:06:20,938 - INFO - Epoch 16/40, Train Loss: 0.0040
2024-03-19 12:06:28,769 - INFO - Epoch 16/40, Train Accuracy (foveal_scan): 0.9975
2024-03-19 12:06:28,769 - INFO - Epoch 16/40, Train Accuracy (healthy): 0.9158
2024-03-19 12:06:28,769 - INFO - Epoch 16/40, Train Accuracy (srf): 1.0000
2024-03-19 12:06:28,769 - INFO - Epoch 16/40, Train Accuracy (irf): 0.9926
2024-03-19 12:06:28,769 - INFO - Epoch 16/40, Train Accuracy (drusen): 0.9763
2024-03-19 12:06:28,769 - INFO - Epoch 16/40, Train Accuracy (ped): 0.9649
2024-03-19 12:06:28,769 - INFO - Epoch 16/40, Train Accuracy (hdots): 0.9706
2024-03-19 12:06:28,769 - INFO - Epoch 16/40, Train Accuracy (hfoci): 0.9943
2024-03-19 12:06:29,645 - INFO - Epoch 16/40, Val Loss: 0.1010
2024-03-19 12:06:30,541 - INFO - Epoch 16/40, Validation Accuracy (foveal_scan): 0.9853
2024-03-19 12:06:30,541 - INFO - Epoch 16/40, Validation Accuracy (healthy): 0.8382
